"Item_title","Artist","Location","Description","Materials","Installed","displayed","Temporary_permanent","Ownership","Programme","Lat","Long"
"The Banker","Leonard Shillam","Post Office Square","According to Judith McKay's Brisbane Sculpture Guide: A Walk Around Public Sculpture in the City 'The Doric columns and entablature over the money-changer refer to the stability and antiquity of banking'.","Cast aluminium","1970","Ongoing","Permanent","Private","Cultural Heritage Public Art Trail","-27.468","153.028"
"Former CML building sculptures","LJ Harvey (Sculptor)","The Manor Apartments (former CML Building) facade, 289-291 Queen Street","The former Colonial Mutual Life Assurance Society (CML) building was opened in 1931. It is one of Brisbane's finest examples of Art Deco architecture. Gargoyles, lions, friezes, shields and Romanesque detailing were included in the design to embellish the front of the building.","Benedict stone","1930-1931","Ongoing","Permanent","Private","Cultural Heritage Public Art Trail","-27.468","153.028"
"Strength, plenty, production and growth","L.J Harvey (created scale model), Fred Gowan (carved sculpture)","Corner Edward and Queen Streets, MacArthur Chambers (former AMP Building)","One of the building's features is the sculpture located above the portico. The sculpture by Fred Gowan is made from Sicilian marble and is said to represent 'strength, plenty, production and growth.'","Sicilian marble","1934","Ongoing","Permanent","Private","Cultural Heritage Public Art Trail","-27.468","153.028"
"Paw Paw and Mango tree relief panels","LJ Harvey","General Post Office, Elizabeth Street","The paw paw and mango tree relief panels, designed by Louis J Harvey, are considered to be reflective of the Arts and Crafts movement that occurred at the turn of the century.","Helidon Sandstone","1909","Ongoing","Permanent","Private","Cultural Heritage Public Art Trail","-27.468","153.029"
"Bishop Quinn","Archille Simonetti","249 Elizabeth Street, Old St Stephen's School","This sculpture by Achille Simonetti commemorates Bishop Quinn, Brisbane's first Catholic Bishop.","Marble","1892","Ongoing","Permanent","Private (St Stephen's collection)","Cultural Heritage Public Art Trail","-27.468","153.029"
"River of stone","Rhyl Hinwood (stone carving), Scott Harrower (mosaic inlays)","249 Elizabeth Street, St Stephen's Cathedral","The work provides a narrative for the cathedral's patron, St Stephen. Words from the Bible's Acts of the Apostles have been selectively carved into the stone.","Sandstone, relief and mosaic","2005","Ongoing","Permanent","Private (St Stephen's collection)","Cultural Heritage Public Art Trail","-27.469","153.029"
"Empire stakes","Judy Watson","249 Elizabeth Street, St Stephen's Cathedral","Empire Stakes is a sculpture by Aboriginal artist, Judy Watson. The series of stakes represent the original ironbark posts that were placed one square mile from Brisbane's settlement in 1852.","Ironbark and steel plates","2003","Ongoing","Permanent","Private (St Stephen's collection)","Cultural Heritage Public Art Trail","-27.469","153.029"
"Man and Matter series","Peter D Cole","Kangaroo Point Boardwalk, Lower River Terrace","This sculptural series was one of the works commissioned by Expo '88. It includes pieces titled; Infinity, D Sculpture, Upside Down Man, Man and Sheaves, Man and Cones, Man and Table, Pyramid Archway, Running Man Archway, Pyramid Sphere and Cube, Quintuplets, Two Man Archway, Man with Wheel","Painted mild steel","World Expo '88 sculpture park, installed current location 1992","Ongoing","Permanent","Brisbane City Council","Art and the River Public Art Trail","-27.482","153.026"
"Biomechanical Pelicans","Christopher Trotter","Brisbane River pylon, near Captain Cook Bridge ","Two stylised pelicans that sit upon a river pylon, near the Captain Cook Bridge. ","Found metal and concrete pedestal ","1995","Ongoing","Permanent","Brisbane City Council","Art and the River Public Art Trail","-27.482","153.03"
"Sunflower Mobile","Johnathon Coleman","Kangaroo Point Cliffs, Kangaroo Point, below St Vincents Hospital Brisbane ","This large sunflower draws energy from its solar powered panels.","Stainless steel, shinkolite sheet","1995","Ongoing","Permanent","Brisbane City Council","Art and the River Public Art Trail","-27.475389","153.034576"
"Reflections at Midday","Jandy Pannel","Kangaroo Point Cliffs, Kangaroo Point, below St Vincents Hospital Brisbane ","A sundial embellished with astrological symbols and text wrapping around its circumference.","Outer circle cast in bronze, stars in glass, set in concrete base","1995","Ongoing","Permanent","Brisbane City Council","Art and the River Public Art Trail","-27.47528","153.034385"
"Fish Fossil","Christopher Trotter","Kangaroo Point Cliffs, Kangaroo Point, below St Vincents Hospital Brisbane ","The artwork, Fish Fossil, evolved from an interest in what lay beneath the Kangaroo Point Cliffs and the element of discovery.","Found metal and cast concrete","1995","Ongoing","Permanent","Brisbane City Council","Art and the River Public Art Trail","-27.475052","153.034455"
"Geerbaugh's Midden","Ron Hurley","Kangaroo Point Cliffs, Kangaroo Point, below St Vincents Hospital Brisbane ","This artwork is a celebration of the Kangaroo Point Cliffs by the Rainbow Serpent and is inspired by conversations with an old man by the name of Geerbaugh.","Ironbark poles with cast aluminium","1995","Ongoing","Permanent","Brisbane City Council","Art and the River Public Art Trail","-27.474267","153.034503"
"Flickering Wind Generator","Johnathon Coleman","Kangaroo Point Cliffs, Kangaroo Point, below St Vincents Hospital Brisbane ","This is an installation about sustainability. The rotor blades of this piece turn in the wind and convert wind energy into electrical energy through a series of electromagnetic charges. ","Painted steel, shinkolite, solar panels","1995","Ongoing","Permanent","Brisbane City Council","Art and the River Public Art Trail","-27.472944","153.033908"
"Crossover Guardians","Mona Ryder","Near Thornton Street, Kangaroo Point ","These sculptures act as guardians or beacons over the river and the ferry.","Painted steel","1995","Ongoing","Permanent","Brisbane City Council","Art and the River Public Art Trail","-27.471178","153.034375"
"Venus Rising : Out of the Water into the Light","Wolfgang Buttress","Kangaroo Point Park, Main Street, near The Cliffs Caf', Kangaroo Point ","Venus Rising is a 23 metre, polished, stainless steel structure that radiates silver or deep gold depending on the intensity or position of the sun. ","Stainless steel","2011","Ongoing","Permanent","Brisbane City Council","Art and the River Public Art Trail","-27.476527","153.035077"
"Seven Versions of the Sun","Daniel Boyd","Kangaroo Point Park, Main Street, Kangaroo Point ","This is a series of seven viewing platforms or arbours along the main promenade adjacent to the Kangaroo Point Cliffs.","Electroplated aluminium plate","2010","Ongoing","Permanent","Brisbane City Council","Art and the River Public Art Trail","-27.475895","153.034912"
"untitled - wormholes","Alexander Knox","Kangaroo Point Park, Main Street, Kangaroo Point ","Wormholes is a compilation of fun, boldly striped, wormlike fantasy creatures that feature a soundscape of people and events from years gone by.","Mild steel, coated in an acrylic urethane enamel paint","2009","Ongoing","Permanent","Brisbane City Council","Art and the River Public Art Trail","-27.475571","153.035287"
"The Green Room and Afforest","Nicole Voevodin-Cash","Kangaroo Point Park, Main Street, Kangaroo Point","This artwork is a direct reference to the theatre where the city is the stage.","GREEN ROOM - Turf, soil, tuff stone, and LED lights. AFFOREST - Hoop Pine (Araucaria cunninghamii), Bumpy Ash (Flindersia schottiana), Wollemi Pine (Wollemia nobilis), Kauri Pine (Agathis robusta), cycad (Cycas revoluta), Queen's Wreath (Petrea kohautiana), grafted Flame Tree (Brachychiton acerifolius), and Bunya Pine (Araucaria bidwillii)","2010","Ongoing","Permanent","Brisbane City Council","Art and the River Public Art Trail","-27.475708","153.035204"
"Infinity forest","Carl Warner","The facade of the Evolution Apartments, at the corner of North Quay and Tank Street","At 60 square metres and five storeys high, Infinity Forest is an image of a towering forest that reflects the soaring skyscrapers surrounding it.","Ink jet on 39 panels of glass","2008","Ongoing","Permanent","Private (developer contribution via Percent for Art)","Contemporary Art and Architecture Public Art Trail","-27.468512","153.019679"
"Once again","Lincoln Austin","Installed on one wall of the arcade, linking from Turbot Street to Tank Street and the Kurilpa Bridge","Once Again explores the processes we follow consciously and subconsciously when we examine objects, from our first encounter to our subsequent encounters and analysis.","Powder coated aluminium and stainless steel","2009","Ongoing","Permanent","Private (developer contribution via Percent for Art)","Contemporary Art and Architecture Public Art Trail","-27.468817","153.020295"
"Infiltration","Kenji Uranishi","Three part artwork that extends from the street through the building into the foyer at 400 George Street, Brisbane","Infiltration is an installation of 200 hand-built, rectangular porcelain pieces which have been inserted into three timber grid frames.","200 porcelain blocks in a timber frame","2009","Ongoing","Permanent","Private (developer contribution via Percent for Art)","Contemporary Art and Architecture Public Art Trail","-27.468661","153.02117"
"Trickle","Donna Marcus","Foyer of 400 George Street, Brisbane","This installation is constructed from more than 3000 aluminium saucepans, saucepan lids, biscuit tins, pudding bowls and other domestic objects.","An installation comprising kitchenware and steel rods","2009","Ongoing","Permanent","Private (developer contribution via Percent for Art)","Contemporary Art and Architecture Public Art Trail","-27.468661","153.02117"
"Chessboard painting #14 and #15","Gemma Smith","Adjacent the lift well in the foyer at 400 George Street, Brisbane","The Chessboard Paintings #14 and #15 form part of a series of works by Brisbane-based artist Gemma Smith.","Acrylic painting","2009","Ongoing","Permanent","Private (developer contribution via Percent for Art)","Contemporary Art and Architecture Public Art Trail","-27.468661","153.02117"
"Confluence","Daniel Templeman","Brisbane Magistrates Court, 363 George Street, corner of Turbot and George Streets, Brisbane","Confluence is representative of a notion associated with the judicial experience; that life presents obstacles which are either seen as overwhelming or resolvable. The work begins with a sense of calm, building up intensity towards the 'obstacle' before penetrating it and returning to the 'resolved' state'.","Plate aluminium and concrete","2004","Ongoing","Permanent","Queensland State Government","Contemporary Art and Architecture Public Art Trail","-27.468376","153.021394"
"Eyes are singing out","Yayoi Kusama","415 George Street","The disembodied eye featured in Eyes are Singing Out is a symbol that appears in many cultures throughout time. It is suggestive not only of a watchful public but also omnipotence, enlightenment and inspiration.","Steel and enamel","2012","Ongoing","Permanent","Queensland State Government","Contemporary Art and Architecture Public Art Trail","-27.467881","153.021196"
"Falling from above - Husk","Stuart Green","Along the length of the pedestrian link from George Street to plaza, 275 George Street, Brisbane","The Falling From Above series sprang from the concept of the city as a forest. Husk is a suspended element, evocative of a seed's outer skin which has opened in release as it falls from the tree canopy.","Aluminium","2009","Ongoing","Permanent","Private (developer contribution via Percent for Art)","Contemporary Art and Architecture Public Art Trail","-27.46958","153.0228"
"Falling from above - Kernel","Stuart Green","Along the length of the pedestrian link from George Street to plaza, 275 George Street, Brisbane","The Falling From Above series sprang from the concept of the city as a forest. Kernel represents the released seed-pod. It is a smooth five-metre wooden form that commands centre-piece at a key intersection of the arcade.","Recycled Western Australian Jarrah wood and steel","2009","Ongoing","Permanent","Private (developer contribution via Percent for Art)","Contemporary Art and Architecture Public Art Trail","-27.46958","153.0228"
"Falling from above - Returning","Stuart Green","Along the length of the pedestrian link from George Street to plaza, 275 George Street, Brisbane","The Falling From Above series sprang from the concept of the city as a forest. Returning is an installation and landscape that symbolises the return of the seed to the earth.","Recycled Western Australian Jarrah wood and steel","2009","Ongoing","Permanent","Private (developer contribution via Percent for Art)","Contemporary Art and Architecture Public Art Trail","-27.469294","153.023154"
"Steam","Donna Marcus","Ground floor Brisbane Square and Reddacliff Place, 266 George Street, Brisbane","Varying in size from 1.3 metres to 2.6 metres in diameter, the spheres are an impressive compilation of generic aluminium kitchenware that has been adapted into the unitary basis of this engaging artwork.","Fabricated aluminium colanders welded together","2006","Ongoing","Permanent","Brisbane City Council","Contemporary Art and Architecture Public Art Trail","-27.471022","153.023004"
"Across the ocean their fragrances intermingled","Pamela Mei-Leng See","Glass atrium over Albert Lane","Across the Ocean Their Fragrances Intermingled is an array of floral designs stencilled over the glazed atrium roof.","Stencils on glass","2007","Ongoing","Permanent","Private (developer contribution via Percent for Art)","Contemporary Art and Architecture Public Art Trail","-27.469913","153.025767"
"Charlie Cox, 2011","Dale Frank","Corner of Albert and Charlotte Streets, Brisbane","Charlie Cox, 2011 is an abstraction of geometric patterns composed of colourful mosaic tiles.","Glass mosaic tiles","2011","Ongoing","Permanent","Private (developer contribution via Percent for Art)","Contemporary Art and Architecture Public Art Trail","-27.470627","153.026438"
"Pride","Graham Lehmann","Corner of Albert and Charlotte Streets, Brisbane","","Stainless steel 598 panels","1999, reinstalled, 2001","Ongoing","Permanent","Brisbane City Council","Contemporary Art and Architecture Public Art Trail","-27.47116","153.026873"
"Waterography ' writing in light with water","Marian Drew","Facade of Charlotte Towers building, 128 Charlotte Street, Brisbane","The artist created a magnified photogram image of water ripples and surface effects for the apartment building podium.","Glass and laminated photogram","2007","Ongoing","Permanent","Private (developer contribution via Percent for Art)","Contemporary Art and Architecture Public Art Trail","-27.470579","153.027404"
"Efflorescence ' architectural epiphyte #9","Simeon Nelson","Facade of 70 Mary Street, Brisbane","Efflorescence is a series of sculptural plant forms located on three architect-designed fins of the facade.","Three sculptural blades, 8mm mild steel","2007","Ongoing","Permanent","Private (developer contribution via Percent for Art)","Contemporary Art and Architecture Public Art Trail","-27.472273","153.026937"
"Landlines","Jennifer Marchant","Facade of 53 Albert Street, Brisbane","Landlines is a large scale depiction of a topographical map of the surrounding mountains seen from Brisbane's CBD including Cunningham's Gap and Main Range.","Stainless steel","2008","Ongoing","Permanent","Private (developer contribution via Percent for Art)","Contemporary Art and Architecture Public Art Trail","-27.472473","153.028106"
"Shades of Green","Peter Lewis","Awning of 42 Albert Street, Brisbane","Shades of Green is 44 metres long, three metres wide and is suspended from the soffit of the entrance awning to the building. It is composed of a series of discreet panels, assembled sequentially.","Screen printed panels","2009","Ongoing","Permanent","Private (developer contribution via Percent for Art)","Contemporary Art and Architecture Public Art Trail","-27.472544","153.02795"
"Continuous Division","Greg Johns","Roma Street Parklands, situated near the College Close carpark","Forged from corten steel 'Continuous Division' is now located at Roma Street Parklands.","Corten steel","World Expo '88 sculpture park","Ongoing","Permanent","Brisbane City Council","World Expo '88 Public Art Trail","-27.461789","153.016269"
"Memories of Wind","Fumio Nishmura","King Edward Park, Wickham Terrace","Sculpted from granite 'Memories of Wind' was loaned to World Expo '88' by artist Fumio Nishmura and was later purchased by Brisbane City Council and installed at King Edward Park.","Granite","World Expo '88 sculpture park, installed current location 1989","Ongoing","Permanent","Brisbane City Council","World Expo '88 Public Art Trail","-27.465695","153.023779"
"Forme del Mito","Arnaldo Pomodoro","Jacob's Ladder, corner of Turbot and Upper Edward Streets","'Forme del Mito' tells the tragic story of Agamemmon from Ancient Greece. Fabricated in cast bronze each piece has its own identity. 'The Prophet' Cassandra, 'The Machine' Aegisthus, 'Ambition' Clytesmnestra and 'Power' Agamemnon King of Mycenea.","Bronze","World Expo '88 sculpture park, installed current location 1989","Ongoing","Permanent","Brisbane City Council","World Expo '88 Public Art Trail","-27.465695","153.023779"
"Around the Campfire (Human Factor)","Artbusters","Ann Street, Department of Primary Industries building","Originally fabricated in fibreglass, 'Around The Campfire' (Human Factor) was slowly deteriorating and in 2005 was replicated in cast aluminium.","Cast aluminium","World Expo '88 sculpture park","Ongoing","Permanent","Queensland State Government","World Expo '88 Public Art Trail","-27.469029","153.022467"
"Mirage","Gidon Graetz","Brisbane Arcade, Queen Street Mall","This optical illusion is another popular piece from World Expo '88'. Fabricated in stainless steel the piece looks different from every angle. Notoriously difficult to photograph, 'Mirage' is now located in Brisbane Arcade.","Stainless steel","World Expo '88 sculpture park","Ongoing","Permanent","Private","World Expo '88 Public Art Trail","-27.468863","153.025433"
"Gestation","Baile Oakes","Queen Street Mall","Measuring 2.8 metres in diameter Gestation was commissioned for, and installed at World Expo '88'. It was then relocated to Emma Millar Place before being moved following extensive vandalism to its bronze surface.","Bronze","World Expo '88 sculpture park, installed current location 2013","Ongoing","Permanent","Brisbane City Council","World Expo '88 Public Art Trail","-27.470896","153.023624"
"Night Companion (Sky Needle)","Charles Sutherland","Manning Street","Perhaps one of the most well-known artworks from World Expo '88' 'Night Companion' or 'Sky Needle' as it's more commonly known is artist Charles Sutherland's interpretation of a sculpture by Robert Owen.","Steel, fibreglass, stone, concrete, polypropylene, copper","World Expo '88 sculpture park","Ongoing","Permanent","Private","World Expo '88 Public Art Trail","-27.477029","153.014953"
"Morning Star II","Jon Barlow Hudson","City Botanic Gardens, close to entrance to QUT","Fabricated from stainless steel, Morning Star II' now sits within Brisbane's Botanic Gardens near the entrance to QUT.","Stainless steel","World Expo '88 sculpture park, installed current location 1989","Ongoing","Permanent","Brisbane City Council","World Expo '88 Public Art Trail","-27.474986","153.028303"
"Plant Form","Rob Juniper","City Botanic Gardens, Brisbane River Walk","Made from mild steel 'Plant Form' was originally commissioned for World Expo '88' and was later purchased by Brisbane City Council. The piece can be found in Brisbane's Botanic Gardens down by the River Walk.","Mild steel","World Expo '88 sculpture park, installed current location 1988","Ongoing","Permanent","Brisbane City Council","World Expo '88 Public Art Trail","-27.473717","153.031145"
"The Man & Matter series","Peter D Cole","Kangaroo Point Cliffs Boardwalk, Lower River Terrace","'Man & Matter' is a series of 12 works commissioned for World Expo '88' which were later purchased by Queensland Government for the Kangaroo Point Cliffs Boardwalk project. Each piece is constructed of painted steel and spreads from South Bank to Kangaroo Point.","Painted steel","World Expo '88 sculpture park, installed current location 1992","Ongoing","Permanent","Brisbane City Council","World Expo '88 Public Art Trail","-27.482","153.026"
"The Rock","Stephen Killick","Captain Burke Park,Holman Street","Constructed from concrete and paint 'The Rock' was commissioned by Brisbane World Expo '88'. The piece stands five metres high and is located in Captain Burke Park at Kangaroo Point.","Concrete, paint","World Expo '88 sculpture park, installed current location 1989","Ongoing","Permanent","Brisbane City Council","World Expo '88 Public Art Trail","-27.465152","153.035033"
"Chair","Kenneth Armitage","Fern House, City Botanic Gardens - Mt Coot-tha","One of the Chair series of sculptures, created in cast bronze in 1983. Chair was exhibited at World Expo 88. It was originally on loan from the artist, and later purchased by Brisbane City Council.","Bronze","World Expo '88 sculpture park, installed current location  2005","Ongoing","Permanent","Brisbane City Council","World Expo '88 Public Art Trail","-27.476808","152.978084"
"Showdown","Chris Beecroft","Boondall Entertainment Centre, corner of Melaleuca Drive and Bicentennial Drive","This iconic 80s artwork is made from painted steel 'Showdown' is now located at the entrance to Boondall Entertainment Centre.","Painted steel","World Expo '88 sculpture park, installed current location 1989","Ongoing","Permanent","Brisbane City Council","World Expo '88 Public Art Trail","-27.343335","153.073592"
"Gravity with Gravitas and Bar","Peter Lewis","Rowes Lane","This work encompasses two elements - 10 'paper aeroplanes' floating down the face of the building, and a brightly coloured 'bar' running the length of the building. The inspiration for the work is to evoke from passers by a smile as they ponder the vision of over-sized paper aeroplanes floating out of the windows of this beautiful historic building. The whimsical contrast to the work day routine, especially daily commuters passing to and from the Central Railway Station, is the ambition. The 'bar' is designed to draw the eye and 'underline' the aeroplanes. The use of the word 'bar' references the Distinguished Flying Cross and Bar medal awarded for acts of valour, courage or devotion to duty whilst flying in active operations against the enemy. The aeroplanes are larger than life and have a very shiny pure white finish to contrast with the muted colours of the historic facade of the building and its softly uneven brick texture. The aspiration is that passers-by will ponder the possibilities beyond their daily routine, even if only for a moment.","Metal","2014","Ongoing","Permanent","Private (developer contribution via Percent for Art)","Contemporary Art and Architecture Public Art Trail","-27.467873","153.026734"
"Foil","Daniel Templeman","Grey Street","The 3D illusion from this facade treatment is generated through the shift of sunlight across the geometric shapes and congruent patterns created from the routed 2D material","Polycarbonate sheet and metallic coating","2014","Ongoing","Permanent","Private (developer contribution via Percent for Art)","Contemporary Art and Architecture Public Art Trail","-27.473385","153.017869"
"Grateful Fateful Sunshine Rain","Kuuki","Fish Lane","Poetic, illuminated visualisations of real-time weather forecasts issued by the Bureau of Meteorology","Acrylic, LEDs","2015","Ongoing","Permanent","Private (developer contribution via Percent for Art)","Contemporary Art and Architecture Public Art Trail","-27.473774","153.017691"
"SuperNatural Landscape","Danie Mellor","480 Queen Street","350-square-metre rainforest mural","Etched glass","2016","Ongoing","Permanent","Private (developer contribution via Percent for Art)","Contemporary Art and Architecture Public Art Trail","-27.464543","153.031051"
"Flux","Stuart Green","Soleil Tower","A visually dynamic screen allowing ventilation to the building behind. The work evokes the dynamics of water flow and eddies with references to the shadows of tall riverside buildings cast on the flowing Brisbane River","Metal","2012","Ongoing","Permanent","Private (developer contribution via Percent for Art)","Contemporary Art and Architecture Public Art Trail","-27.462347","153.032783"
"Burnett Lane lanterns","Changing artists","Burnett Lane","Changing display","Lantern lightshades","Changing display","Ongoing","Temporary","Brisbane City Council","Vibrant Laneways Outdoor Gallery","-27.469836","153.024126"
"King George Square Car Park Student Art Gallery light boxes","Changing artists","King George Square Car Park","Changing display","Light boxes","Changing display","Ongoing","Temporary","Brisbane City Council","Vibrant Laneways Outdoor Gallery","-27.468211","153.024281"
"William Jolly Bridge Projections","Changing artists","William Jolly Bridge","Changing display","Light projections","Changing display","Ongoing","Temporary","Brisbane City Council","Outdoor Gallery","-27.468738","153.015533"
"Fish Lane light boxes","Changing artists","Fish Lane","Changing display","Light boxes","Changing display","Ongoing","Temporary","Brisbane City Council","Vibrant Laneways Outdoor Gallery","-27.473664","153.017918"
"Hutton Lane light boxes","Changing artists","Hutton Lane","Changing display","Light boxes","Changing display","Ongoing","Temporary","Brisbane City Council","Vibrant Laneways Outdoor Gallery","-27.465507","153.028592"
"Giffin Lane wall banner","Changing artists","Giffin Lane","Changing display","Wall banner","Changing display","Ongoing","Temporary","Brisbane City Council","Vibrant Laneways Outdoor Gallery","-27.466152","153.028869"
"Edison Lane wall banner","Changing artists","Edison Lane","Changing display","Wall banner","Changing display","Ongoing","Temporary","Brisbane City Council","Vibrant Laneways Outdoor Gallery","-27.467524","153.028939"
"Eagle Lane light boxes","Changing artists","Eagle Lane","Changing display","Light boxes","Changing display","Ongoing","Temporary","Brisbane City Council","Vibrant Lanesways Outdoor Gallery","-27.466423","153.030126"
"Evolution","Matt Stewart","Coronation Drive flyover of Go Between Bridge","","Painted mural","2016","Ongoing","Semi-permanent","Brisbane City Council","Brisbane Canvas","-27.46904","153.01065"
"Tropical Still Life","Jumbo (Andrew Boddam-Whetham)","King George Square car park Roma Street entry walls","","Painted mural","2016","Ongoing","Semi-permanent","Brisbane City Council","Brisbane Canvas","-27.467574","153.023011"
"Follow the Leader","Thomas Jackson","Milton Road wall outbound","","Painted mural","2016","Ongoing","Semi-permanent","Brisbane City Council","Brisbane Canvas","-27.467116","153.009679"
"Position #51; Position #52","Kyle Jenkins","Kelvin Grove Road ICP walls (inbound and outbound)","","Painted mural","2016","Ongoing","Semi-permanent","Brisbane City Council","Brisbane Canvas","-27.457611","153.013782"
"If only you knew","Frank and Mimi (Emily Devers and Rick Haywood)","Arch Lane stairs","","Painted mural","2016","Ongoing","Semi-permanent","Brisbane City Council","Brisbane Canvas","-27.462237","153.032932"
"The Birds","Noke (Bronte Naylor)","Dock Street bike path wall","","Painted mural","2016","Ongoing","Semi-permanent","Brisbane City Council","Brisbane Canvas","-27.482101","153.027488"
"Emblem","Geoffrey Ricardo","Corner of George and Roma Streets","Six-metre tall humanesque kangaroo striding and keeping pace with the tempo of life in the surrounding environment.","Aluminium, brass, ceramic, copper","2015","Ongoing","Permanent","Brisbane City Council","City Artworks","-27.467015","153.019804"
"Spinning Top","Jarrad Kennedy","Junction of Turbot, Wickham and Boundary streets","References the heritage-listed remnants of James Duhig's?unfinished Holy Name Cathedral. The sculpture is a scale model of the building?s dome ","Stainless steel, copper, neoprene rubber","2015","Ongoing","Permanent","Brisbane City Council","City Artworks","-27.461707","153.03102"
"Reverie I","Charles Robb","Plinth on Gardens Point Road","Covered by curls and twirling forms, inspired by the idea of a sculpted wig on a?17th?Century bust","Epoxy resin, Slate Powder, Cabosil (Fumed silica), Triaxial weave fiberglass cloth, Steel SHS (65x65, 3mm wall), Steel rod 12mm diam, Galvanised Steel fixings","2015","Ongoing","Permanent","Brisbane City Council","City Artworks","-27.478787","153.029208"
"PoinsettiaRiverfire","Luke Roberts","Emma Miller Place","0.5 metre sculpture with integrated lighting.?References Brisbane's official floral emblem, the Poinsettia, and celebrates the annual Riverfire Festival and other popular fireworks displays","Stainless steel, integrated lighting","2016","Ongoing","Permanent","Brisbane City Council","City Artworks","-27.467139","153.021875"
