hastus_id,translink_id,description,street_name,nearest_cross_street,lat,long,suburb,bus_stop_type,tactile_ground_surf_indicat_y_n,boarding_point,road_gradient,cross_fall,date_of_last_audit,btn_both
72,306605,Queen St f/s Eagle Lane (stop 72),Queen St,Eagle La,-27.466337,153.029604,BRISBANE CITY,Regular with seat,Y,Medium,Medium,Hard,20/02/2012,TRUE
74,306604,Queen St app Creek St (Stop 74),Queen St,Creek St,-27.466813,153.028994,BRISBANE CITY,Regular with seat,Y,Medium,Medium,Medium,20/02/2012,TRUE
76,307256,Queen St Farside Creek St.,Queen St,Creek St,-27.467437,153.028193,BRISBANE CITY,Regular with seat,N,Easy,Medium,Medium,13/05/2008,TRUE
81,306628,Elizabeth St F/S George St (Stop 81),Elizabeth St,George St,-27.471323,153.024721,BRISBANE CITY,Regular with seat,Y,Medium,Medium,Easy,15/06/2007,TRUE
82,306627,Elizabeth app Albert St (r) (Stop 82),Elizabeth St,Albert St,-27.470726,153.025489,BRISBANE CITY,Regular with seat,N,Medium,Medium,Hard,15/06/2007,TRUE
83,306626,Elizabeth St app Albert St (Stop 83),Elizabeth St,Albert St,-27.470547,153.025719,BRISBANE CITY,Regular with seat,Y,Medium,Medium,Medium,15/06/2007,TRUE
84,307140,Elizabeth St F/S Albert St (Stop 84),Elizabeth St,Albert St,-27.470149,153.026231,BRISBANE CITY,Regular with seat,N,Easy,Medium,Medium,28/08/2007,TRUE
85,306625,Elizabeth St at Shoe City (Stop 85),Elizabeth St,Albert St,-27.470029,153.026385,BRISBANE CITY,Regular with seat,N,Easy,Easy,Easy,15/06/2007,TRUE
86,NA,Elizabeth St,QUEEN ST,NA,-27.469948,153.026489,BRISBANE CITY,NA,NA,NA,NA,NA,NA,TRUE
87,306623,Elizabeth St app Edward St (Stop 87),Elizabeth St,Edward St,-27.469255,153.027377,BRISBANE CITY,Regular with seat,Y,Medium,Easy,Easy,20/02/2012,TRUE
88,NA,Elizabeth St far-side Edward St (Stop 88),QUEEN ST,NA,-27.468697,153.028092,BRISBANE CITY,NA,NA,NA,NA,NA,NA,TRUE
89,307141,Elizabeth St rear of GPO (Stop 89),Albert St,Creek St,-27.468182,153.028753,BRISBANE CITY,Regular with seat,Y,Medium,Easy,Hard,20/02/2012,TRUE
90,307253,Charlotte St app Market St (Stop 90),Charlotte St,Market St,-27.46908,153.029518,BRISBANE CITY,Regular,Y,Medium,Easy,Medium,20/02/2012,TRUE
91,307260,Charlotte St app George St (Stop 91),Charlotte St,George St,-27.472097,153.025662,BRISBANE CITY,Regular,Y,Medium,Hard,Medium,13/05/2008,TRUE
92,NA,Mary St F/S Edward St (stop 92),EDWARD ST,NA,-27.470808,153.029004,BRISBANE CITY,NA,NA,NA,NA,NA,NA,TRUE
93,NA,Alice St app George St (Stop 95A),ALICE ST,NA,-27.473986,153.028348,BRISBANE CITY,Intermediate,Y,Easy,Easy,Hard,NA,TRUE
94,306638,Margaret St F/S George St (Stop 94),Margaret St,George St,-27.473431,153.027153,BRISBANE CITY,Regular,Y,Easy,Hard,Easy,20/02/2012,TRUE
95,306642,Alice St app George St (Stop 95),Alice St,George St,-27.474625,153.027529,BRISBANE CITY,Intermediate,Y,Easy,Hard,Hard,20/02/2012,TRUE
96,306643,Alice St F/S Edward St (Stop 96),Alice St,Edward St,-27.472937,153.029691,BRISBANE CITY,Intermediate,Y,Easy,Easy,Medium,20/02/2012,TRUE
97,306637,Margaret St near Albert St (Stop 97),Margaret St,Albert St,-27.472893,153.027837,BRISBANE CITY,Regular,Y,Medium,Easy,Hard,20/02/2012,TRUE
98,306612,Margaret St F/S Edward St (Stop 98),Margaret St,Felix St,-27.471134,153.030095,BRISBANE CITY,Regular,Y,Medium,Easy,Hard,20/02/2012,TRUE
99,NA,City loop Stop Alice St (Stop 96A),ALICE ST,NA,-27.473725,153.028683,BRISBANE CITY,Intermediate,NA,Easy,Easy,Medium,NA,TRUE
100,NA,Parliament - Margaret St (Stop 94A),Margaret St,NA,-27.473751,153.026745,BRISBANE CITY,Regular,N,Medium,Hard,Easy,NA,TRUE
106,NA,North Quay @ Herschel St (St 106),NORTH QUAY,NA,-27.468033,153.018369,BRISBANE CITY,NA,NA,NA,NA,NA,NA,TRUE
108,NA,George St City Precincts (Stop 108),GEORGE ST,NA,-27.473635,153.026068,BRISBANE CITY,NA,NA,NA,NA,NA,NA,TRUE
109,306564,North Quay Island (Stop 109),North Quay,Adelaide St,-27.4706459,153.0216664,BRISBANE CITY,Intermediate,Y,Medium,Easy,Medium,20/02/2012,TRUE
114,306635,George St F/S Alice St (Stop 114),George St,Alice St,-27.474525,153.026935,BRISBANE CITY,Intermediate,N,Hard,Easy,Easy,20/02/2012,TRUE
115,306633,George St app Charlotte St (St 115),George St,Mary St,-27.473005,153.025452,BRISBANE CITY,Regular with seat,Y,Medium,Medium,Easy,20/02/2012,TRUE
116,NA,George St app Queen St (Stop 116),QUEEN ST,NA,-27.471313,153.023804,BRISBANE CITY,NA,NA,NA,NA,NA,NA,TRUE
116,NA,Casino Elizabeth St app George St (Stop 116b),QUEEN ST,NA,-27.471894,153.023994,BRISBANE CITY,NA,NA,NA,NA,NA,NA,TRUE
117,306575,George St app Turbot (r) (Stop 117),George St,Turbot St,-27.469048,153.021597,BRISBANE CITY,Regular with seat,Y,Medium,Easy,Medium,20/02/2012,TRUE
118,NA,George St app Turbot St (Stop 118),GEORGE ST,NA,-27.468909,153.021461,BRISBANE CITY,NA,NA,NA,NA,NA,NA,TRUE
119,NA,George St F/S Tank St (Stop 119),GEORGE ST,NA,-27.467685,153.020271,BRISBANE CITY,NA,NA,NA,NA,NA,NA,TRUE
120,NA,George St app Herschel St (St 120),GEORGE ST,NA,-27.467476,153.020072,BRISBANE CITY,NA,NA,NA,NA,NA,NA,TRUE
121,306553,Roma St at Police HQ (Stop 121),Roma St,Makerston St,-27.466533,153.018427,BRISBANE CITY,Intermediate,Y,Medium,Easy,Hard,29/05/2012,TRUE
122,306551,Roma St app Garrick St (Stop 122),Roma St,Garrick St,-27.466361,153.017761,BRISBANE CITY,Intermediate,Y,Medium,Easy,Easy,29/05/2012,TRUE
123,306636,George St app Alice St (Stop 123),George St,Margaret St,-27.474254,153.026861,BRISBANE CITY,Intermediate,N,Medium,Easy,Hard,15/06/2007,TRUE
124,306552,Roma St app Rlwy Stn (r) (Stop 124),Roma St,Garrick St,-27.466288,153.017988,BRISBANE CITY,Intermediate,Y,Medium,Easy,Medium,29/05/2012,TRUE
125,306554,Roma St app Transit Cntre (Stop 125),Roma St,Markerston St,-27.46638,153.018346,BRISBANE CITY,Intermediate,Y,Medium,Easy,Easy,20/02/2012,TRUE
126,NA,HBL and PRT stop Roma St Station,MAKERSTON ST,NA,-27.466398,153.017905,BRISBANE CITY,NA,NA,NA,NA,NA,NA,TRUE
127,NA,Roma St Station,NA,NA,-27.466208,153.017677,BRISBANE CITY,NA,NA,NA,NA,NA,NA,TRUE
128,NA,Roma St Station (OB),NA,NA,-27.46633,153.017638,BRISBANE CITY,NA,NA,NA,NA,NA,NA,TRUE
129,NA,Albert St app Adelaide St (Stop 129),ADELAIDE ST,NA,-27.469034,153.024575,BRISBANE CITY,NA,NA,NA,NA,NA,NA,TRUE
130,307254,Turbot Street off ramp - 130,Magistrates La,Roma St,-27.468056,153.021935,BRISBANE CITY,Regular with seat,Y,Easy,Medium,Easy,20/02/2012,TRUE
131,NA,Wickham Tce @ Lilley St (Stop 131),Wickhan Terrace,NA,-27.463388,153.020845,SPRING HILL,Intermediate,NA,Medium,Medium,Hard,NA,TRUE
132,NA,Wickham Tce @ Gazebo (St 132),NA,NA,-27.464585,153.021068,SPRING HILL,NA,NA,NA,NA,NA,NA,TRUE
133,306505,Wickham Tce @ Bne Private Hosp (St 133),Wickham Tce,Brisbane Private Hospital,-27.465352,153.022451,SPRING HILL,Regular with seat,N,Medium,Hard,Hard,10/05/2007,TRUE
134,306506,Wickham Tce @ Watkins Place (134),Wickham Tce,Bartley St,-27.465598,153.02333,SPRING HILL,Regular with seat,N,Easy,Hard,Medium,10/05/2007,TRUE
135,306522,Upp Edward St f/s Wickham (St 135),Upper Edward St,Wickham Tce,-27.46439,153.024786,SPRING HILL,Intermediate,N,Hard,Medium,Hard,6/07/2007,TRUE
136,NA,Herschell St @ Fitness First,NORTH QUAY,NA,-27.467967,153.018722,BRISBANE CITY,NA,NA,NA,NA,NA,NA,TRUE
137,NA,Turbot St & Up Edward St @ Jacobs Ladder,EDWARD ST,NA,-27.465793,153.024537,BRISBANE CITY,NA,NA,NA,NA,NA,NA,TRUE
138,NA,Roma Street app Ann St (Stop 138),ROMA ST,NA,-27.467849,153.022901,BRISBANE CITY,Regular,NA,NA,NA,NA,NA,TRUE
139,NA,Casino George St f/s Elizabeth St,QUEEN ST,NA,-27.471367,153.023856,BRISBANE CITY,NA,NA,NA,NA,NA,NA,TRUE
140,306501,Upp Edward St @ Wickham (St 140),Upper Edward St,Wickham Tce,-27.464571,153.025,SPRING HILL,Intermediate,N,Easy,Hard,NA,10/05/2007,TRUE
141,306618,Edward St app Ann St (Stop 141),Edward St,Ann St,-27.466432,153.0252,BRISBANE CITY,Regular,Y,Medium,Hard,Easy,29/05/2012,TRUE
142,306617,Edward St F/S Queen St (Stop 142),Edward St,Elizabeth St,-27.46875,153.027433,BRISBANE CITY,Regular with seat,Y,Medium,Easy,Easy,20/02/2012,TRUE
143,306616,Edward Street Stop 143 at Elizabeth,Edward St,Elizabeth St,-27.468874,153.027554,BRISBANE CITY,Regular with seat,Y,Hard,Easy,Easy,20/02/2012,TRUE
144,306615,Edward St f/s Elizabeth St (St 144),Edward St,Elizabeth St,-27.469333,153.028002,BRISBANE CITY,Regular with seat,Y,Medium,Medium,Hard,20/02/2012,TRUE
145,306614,Edward St app Mary St (Stop 145),Edward St,Mary St,-27.470346,153.028991,BRISBANE CITY,Regular,Y,Medium,Medium,Hard,13/06/2007,TRUE
146,306613,Edward St app Margaret St (St 146),Edward St,Margaret St,-27.471158,153.029782,BRISBANE CITY,Regular with seat,N,Easy,Hard,Hard,13/06/2007,TRUE
147,NA,Edward St at Alice St (Stop 147),NA,NA,-27.472165,153.030655,BRISBANE CITY,NA,NA,NA,NA,NA,NA,TRUE
148,306602,Riverside Creek St (Stop 148),Creek St,Queen St,-27.467314,153.028827,BRISBANE CITY,Regular,Y,Easy,Medium,Hard,20/02/2012,TRUE
149,307520,Creek St app Adelaide St (Stop 149),Creek St,Adelaide St,-27.466622,153.028153,BRISBANE CITY,Regular,Y,Easy,Easy,Medium,20/02/2012,TRUE
150,NA,Riverside Eagle St (Stop 150),EAGLE ST,NA,-27.46661,153.030089,BRISBANE CITY,NA,NA,NA,NA,NA,NA,TRUE
151,NA,Eagle St app Eagle Lne (r) (St 151),QUEEN ST,NA,-27.466255,153.030186,BRISBANE CITY,NA,NA,NA,NA,NA,NA,TRUE
152,306609,Eagle St at Riverside Centre (St 152),Eagle St,Eagle La,-27.466965,153.030137,BRISBANE CITY,Regular,N,Medium,Easy,Medium,13/06/2007,TRUE
153,306610,Eagle St at Waterfront Pl (Stop 153),Eagle St,Charlotte St,-27.46919,153.030305,BRISBANE CITY,Regular,Y,Medium,Easy,Medium,20/02/2012,TRUE
155,306611,Eagle St app Charlotte St (Stop 155),Eagle St,Charlotte St,-27.468972,153.030123,BRISBANE CITY,Intermediate,Y,Medium,Easy,Easy,20/02/2012,TRUE
156,306518,Wharf St app Ann St (Stop 156),Wharf St,Ann St,-27.464472,153.028981,BRISBANE CITY,Regular with seat,Y,Medium,Medium,Easy,29/05/2012,TRUE
157,306516,Wickham Tce stand B (Stop 157),Wickham Tce,Turbot St,-27.464278,153.027881,SPRING HILL,Regular with seat,N,Medium,Easy,Hard,6/05/2007,TRUE
158,306517,Wickham Tce stand A (Stop 158),Wickham Tce,Turbot St,-27.464418,153.027851,SPRING HILL,Intermediate,Y,Medium,Easy,Hard,29/05/2012,TRUE
159,306515,Wickham Tce stand C (Stop 159),Wickham Tce,Turbot St,-27.464235,153.028052,SPRING HILL,Regular,N,Medium,Easy,Hard,6/05/2007,TRUE
160,NA,Wickham Tce 'D' (Stop 160),WICKHAM TCE,NA,-27.464313,153.028296,SPRING HILL,NA,NA,Medium,Medium,Hard,NA,TRUE
161,NA,Wharf St f/s Ann St,ANN ST,NA,-27.464352,153.029049,BRISBANE CITY,NA,NA,NA,NA,NA,NA,TRUE
162,306513,Wharf St F/S Ann St (Stop 162),Wharf St,Turbot St,-27.463881,153.028415,SPRING HILL,Regular with seat,Y,Medium,Easy,Hard,29/05/2012,TRUE
163,306510,Wharf St app Leichhardt (St 163),Wharf St,St Pauls Tce,-27.462033,153.026618,SPRING HILL,Intermediate,N,Easy,Hard,Hard,6/05/2007,TRUE
164,NA,Leichhardt St - The Ridge (Stop 164),LEICHHARDT ST,NA,-27.46256,153.025751,SPRING HILL,NA,NA,NA,NA,NA,NA,TRUE
165,306471,Leichhardt St - The Ridge (Stop 165),Leichardt St,Henry St,-27.462473,153.025597,SPRING HILL,Regular with seat,N,Easy,Easy,Medium,9/05/2007,TRUE
166,306511,Wharf St app Turbot St (Stop 166),Wharf St,Turbot St,-27.463233,153.027985,SPRING HILL,Intermediate,N,Easy,Medium,Hard,6/05/2007,TRUE
167,NA,Wharf St fs Astor Terrace,WHARF ST,NA,-27.462755,153.027323,SPRING HILL,NA,NA,NA,NA,NA,NA,TRUE
168,306519,Wharf St F/S Adelaide St (Stop 168),Wharf St,Rich La,-27.465168,153.029863,BRISBANE CITY,Intermediate,Y,Medium,Hard,Hard,29/05/2012,TRUE
172,306473,St Andrews,Boundary St,Bradley St,-27.460331,153.020511,SPRING HILL,Regular with seat,N,Easy,Medium,Hard,9/05/2007,TRUE
173,NA,Gregory Terrace Zone A turn around,NA,NA,-27.459523,153.019015,SPRING HILL,NA,NA,NA,NA,NA,NA,TRUE
174,NA,Albert Park Stop 174,NA,NA,-27.461426,153.019575,SPRING HILL,NA,NA,NA,NA,NA,NA,TRUE
178,306509,Leichhardt Street,Little Edward St,Leichardt St,-27.462351,153.024115,SPRING HILL,Regular with seat,N,Medium,Hard,Medium,6/05/2007,TRUE
180,306472,Queensland Transport,Boundary St,Fortescue St,-27.46072,153.023158,SPRING HILL,Intermediate,Y,Easy,Hard,Hard,9/05/2007,TRUE
181,NA,Windmill/City Sights stop,WICKHAM TCE,NA,-27.465687,153.023538,SPRING HILL,NA,NA,Medium,Hard,Hard,NA,TRUE
184,NA,Gregory Tce - Zone A turn around,GREGORY TCE,NA,-27.459499,153.019019,SPRING HILL,NA,NA,NA,NA,NA,NA,TRUE
185,307429,"Fortescue Street"""""""" Spring Hill",Fortescue St,Boundary St,-27.46048,153.023523,SPRING HILL,Regular,N,Easy,Hard,Hard,12/11/2008,TRUE
186,307430,"Water St"""""""" Spring Hill",Water St,Laisby Dr,-27.459943,153.024836,SPRING HILL,Regular,N,Medium,Hard,Hard,12/11/2008,TRUE
201,306538,Brunswick St @ Alfred St (Stop 201),Brunswick St,Alfred St,-27.456195,153.032226,FORTITUDE VALLEY,Regular with seat,N,Easy,Hard,Medium,6/08/2007,TRUE
202,307132,Brunswick St @ Wickham St (St 202),Brunswick St,Wickham St,-27.457263,153.033586,FORTITUDE VALLEY,Regular with seat,N,Medium,NA,Easy,28/08/2007,TRUE
203,NA,Warner St fs Wickham (St 203),WARNER ST,NA,-27.457303,153.035103,FORTITUDE VALLEY,NA,NA,NA,NA,NA,NA,TRUE
204,300065,Warner St mid-block (Stop 204),Warner St,Ann St,-27.45723,153.035011,FORTITUDE VALLEY,Intermediate,N,Medium,Easy,Medium,6/07/2007,TRUE
205,306533,Warner St app Ann St (Stop 205),Warner St,Ann St,-27.457506,153.035362,FORTITUDE VALLEY,Premium,N,Easy,Easy,Easy,6/07/2007,TRUE
206,306534,Ballow St app Ann St (Stop 206),Ballow St,Ann St,-27.457044,153.036084,FORTITUDE VALLEY,Intermediate,N,Easy,Medium,Hard,6/07/2007,TRUE
207,307133,Brunswick St @ McLachlan (207),Brunswick St,McLachlan St,-27.458718,153.035426,FORTITUDE VALLEY,Regular with seat,Y,Easy,Medium,NA,28/08/2007,TRUE
210,NA,Brunswick St @ Ann St (Stop 210),BRUNSWICK ST,NA,-27.458815,153.035336,FORTITUDE VALLEY,NA,NA,NA,NA,NA,NA,TRUE
211,307130,Brunswick St f/s Wickham (St 211),Brunswick St,Alfred St,-27.457063,153.033119,FORTITUDE VALLEY,Regular with seat,N,Medium,Easy,Medium,28/08/2007,TRUE
212,307131,Brunswick St @ Alfred St (Stop 212),Brunswick St,Alfred St,-27.456601,153.032534,FORTITUDE VALLEY,Regular with seat,N,Easy,Medium,Medium,28/08/2007,TRUE
