Wifi Hotspot Name,Address,Suburb,Latitude,Longitude,Site
QLD_SOU208A,SB01 - Southbank Overview (Gazebo on small island),South Brisbane,-27.47787,153.02301,Southbank Area
QLD_SOU209A,SB01 - Southbank Overview (Southbank House),South Brisbane,-27.478652,153.022463,Southbank Existing BCC Wifi
QLD_SOU210A,SB01 - Southbank Overview (Southbank House),South Brisbane,-27.478455,153.022653,Southbank Existing BCC Wifi
QLD_SOU211A,SB01 - Southbank Overview (Allgas Building),South Brisbane,-27.478869,153.022931,Southbank Existing BCC Wifi
QLD_SOU215A,SB01 - Southbank Overview (River Quay Restaurants),South Brisbane,-27.480821,153.025031,Southbank Existing BCC Wifi
QLD_SOU216A,SB01 - Southbank Overview (River Quay Restaurants),South Brisbane,-27.480888,153.025569,Southbank Existing BCC Wifi
QLD_SOU217A,SB01 - Southbank Overview (Piazza) and SB6 Piazza,South Brisbane,-27.477252,153.02146,Southbank New BCC Wifi
QLD_SOU218A,SB01 - Southbank Overview (Piazza) and SB6 Piazza,South Brisbane,-27.477116,153.021364,Southbank New BCC Wifi
QLD_SOU219A,SB01 - Southbank Overview (Piazza) and SB6 Piazza,South Brisbane,-27.476976,153.021271,Southbank New BCC Wifi
QLD_SOU239A,Victoria Bridge,South Brisbane,-27.473077,153.01988,Victoria Bridge
QLD_STO262A,286 Logan Rd,Greenslopes,-27.49824,153.043585,Stones Corner
QLD_STO263A,2 Old Cleveland Rd,Greenslopes,-27.498527,153.04471,Stones Corner
QLD_STO264A,346-356 Logan Rd,Greenslopes,-27.499088,153.044929,Stones Corner
QLD_STO265A,405-407 Logan Rd,Greenslopes,-27.50021,153.045418,Stones Corner
QLD_STO266A,6 Jeavons Lane,Greenslopes,-27.500852,153.045479,Stones Corner
QLD_STO267A,433 Logan Rd,Greenslopes,-27.5013,153.04635,Stones Corner
QLD_STO268A,11 Cleveland St,Greenslopes,-27.49869,153.043251,Stones Corner
QLD_WYN280A,137 Wynnum Esplanade,Wynnum,-27.44202331,153.1764257,Wynnum
QLD_WYN281A,137 Wynnum Esplanade,Wynnum,-27.441951,153.17637,Wynnum
QLD_WYN282A,89 Bay Terrace,Wynnum,-27.443211,153.173084,Wynnum
QLD_07339618X2,66 FLORENCE ST,Wynnum,-27.44396458,153.1733202,Wynnum
QLD_WYN283A,128 Bay Tce,Wynnum,-27.44433871,153.1742945,Wynnum
QLD_WYN284A,92 Florence Street,Wynnum,-27.44445624,153.1727148,Wynnum
QLD_WYN285A,70 Edith Street,Wynnum,-27.44487611,153.1736891,Wynnum
QLD_07339634X2,145 Florence St,Wynnum,-27.44501888,153.1719572,Wynnum
QLD_07389304X2,76 Edith St,Wynnum,-27.44528827,153.1731544,Wynnum
QLD_WYN286A,149 Florence Street,Wynnum,-27.44535057,153.1719503,Wynnum
QLD_07339632X2,125 Edith St,Wynnum,-27.44571314,153.1722108,Wynnum
QLD_SLU287A,228-234 Hawken Drive,St Lucia,-27.502172,153.006037,St Lucia
QLD_07387012X2,225 Hawken Drive,St Lucia,-27.502179,153.006513,St Lucia
Sandgate Library Wifi,Seymour Street,Sandgate,-27.32060523,153.0704927,Library
Stones Corner Library Wifi,280 Logan Road,Greenslopes,-27.49803575,153.043655,Library
Sunnybank Hills Library Wifi,"Sunnybank Hills Shopping Centre, Corner Compton and Calam Roads",Sunnybank Hills,-27.6109253,153.0550706,Library
Toowong Library Wifi,"Toowon Village Shopping Centre, Sherwood Road",Toowong,-27.48505116,152.9925091,Library
West End Library Wifi,178 - 180 Boundary Street,West End,-27.48245078,153.0120763,Library
Wynnum Library Wifi,145 Florence St,Wynnum,-27.444938,153.171646,Library
Zillmere Library Wifi,Corner Jennings Street and Zillmere Road,Zillmere,-27.36014232,153.0407898,Library
